feature,group,n,outcome,go_rate,baseline,lift,sample_note
mcap,1-3億,1539,led_to_go_180d,0.033788,0.027007,1.251092,
mcap,3-10億,1756,led_to_go_180d,0.025626,0.027007,0.948883,
mcap,<1億,740,led_to_go_180d,0.016216,0.027007,0.600446,
mcap,>=10億,1,led_to_go_180d,0.0,0.027007,0.0,insufficient_sample
turnover_to_mcap,1-5%,1467,led_to_go_180d,0.030675,0.027007,1.135814,
turnover_to_mcap,<1%,2147,led_to_go_180d,0.026549,0.027007,0.983032,
turnover_to_mcap,>5%,422,led_to_go_180d,0.016588,0.027007,0.614201,
ratio,20-50x,1155,led_to_go_180d,0.027706,0.027007,1.025871,
ratio,<20x,1851,led_to_go_180d,0.031334,0.027007,1.160236,
ratio,>50x,1030,led_to_go_180d,0.018447,0.027007,0.683032,
prior_go_365d,0,3972,led_to_go_180d,0.027442,0.027007,1.016113,
prior_go_365d,1,64,led_to_go_180d,0.0,0.027007,0.0,
prior_change_of_control,0,4036,led_to_go_180d,0.027007,0.027007,1.0,
prior_placing_180d,0,3830,led_to_go_180d,0.02846,0.027007,1.053786,
prior_placing_180d,1,206,led_to_go_180d,0.0,0.027007,0.0,
prior_rights_180d,0,3964,led_to_go_180d,0.027497,0.027007,1.018163,
prior_rights_180d,1,72,led_to_go_180d,0.0,0.027007,0.0,
prior_consolidation_180d,0,3997,led_to_go_180d,0.02727,0.027007,1.009757,
prior_consolidation_180d,1,39,led_to_go_180d,0.0,0.027007,0.0,
has_broker_shot,0,2921,led_to_go_180d,0.028415,0.027007,1.052134,
has_broker_shot,1,1115,led_to_go_180d,0.023318,0.027007,0.863422,
appearance_seq,1,1226,led_to_go_180d,0.032626,0.027007,1.208076,
appearance_seq,2,941,led_to_go_180d,0.030818,0.027007,1.141125,
appearance_seq,3-4,1129,led_to_go_180d,0.026572,0.027007,0.983902,
appearance_seq,>=5,740,led_to_go_180d,0.013514,0.027007,0.500372,
recurrence,0,1226,led_to_go_180d,0.032626,0.027007,1.208076,
recurrence,1,2810,led_to_go_180d,0.024555,0.027007,0.909217,
board,unknown,4036,led_to_go_180d,0.027007,0.027007,1.0,
ccass_top10_pct,50-70%,5,led_to_go_180d,0.0,0.027007,0.0,insufficient_sample
ccass_top10_pct,>=70%,76,led_to_go_180d,0.0,0.027007,0.0,
ccass_top10_pct,unknown,3955,led_to_go_180d,0.02756,0.027007,1.02048,
concentration_rising,flat(±1pp),60,led_to_go_180d,0.0,0.027007,0.0,
concentration_rising,unknown,3976,led_to_go_180d,0.027414,0.027007,1.015091,
dump_top10_pct_of_issued,20-40%,473,led_to_go_180d,0.035941,0.027007,1.330799,
dump_top10_pct_of_issued,40-60%,365,led_to_go_180d,0.021918,0.027007,0.811562,
dump_top10_pct_of_issued,<20%,215,led_to_go_180d,0.055814,0.027007,2.066652,
dump_top10_pct_of_issued,>=60%,820,led_to_go_180d,0.040244,0.027007,1.490132,
dump_top10_pct_of_issued,unknown,2163,led_to_go_180d,0.018031,0.027007,0.667625,
dump_concentration_rising,falling(<-1pp),334,led_to_go_180d,0.020958,0.027007,0.776026,
dump_concentration_rising,flat(±1pp),1115,led_to_go_180d,0.044843,0.027007,1.660427,
dump_concentration_rising,rising(>+1pp),424,led_to_go_180d,0.03066,0.027007,1.135278,
dump_concentration_rising,unknown,2163,led_to_go_180d,0.018031,0.027007,0.667625,
repurchasing_30d,無回購紀錄,4036,led_to_go_180d,0.027007,0.027007,1.0,
dump_top10_x_appearance,20-40%×1,218,led_to_go_180d,0.041284,0.027007,1.528659,
dump_top10_x_appearance,20-40%×2,135,led_to_go_180d,0.044444,0.027007,1.645668,
dump_top10_x_appearance,20-40%×3-4,95,led_to_go_180d,0.021053,0.027007,0.779527,
dump_top10_x_appearance,20-40%×>=5,25,led_to_go_180d,0.0,0.027007,0.0,
dump_top10_x_appearance,40-60%×1,164,led_to_go_180d,0.018293,0.027007,0.677333,
dump_top10_x_appearance,40-60%×2,107,led_to_go_180d,0.028037,0.027007,1.038155,
dump_top10_x_appearance,40-60%×3-4,81,led_to_go_180d,0.012346,0.027007,0.45713,
dump_top10_x_appearance,40-60%×>=5,13,led_to_go_180d,0.076923,0.027007,2.848271,insufficient_sample
dump_top10_x_appearance,<20%×1,108,led_to_go_180d,0.046296,0.027007,1.714237,
dump_top10_x_appearance,<20%×2,66,led_to_go_180d,0.060606,0.027007,2.244092,
dump_top10_x_appearance,<20%×3-4,37,led_to_go_180d,0.081081,0.027007,3.002232,
dump_top10_x_appearance,<20%×>=5,4,led_to_go_180d,0.0,0.027007,0.0,insufficient_sample
dump_top10_x_appearance,>=60%×1,352,led_to_go_180d,0.034091,0.027007,1.262302,
dump_top10_x_appearance,>=60%×2,228,led_to_go_180d,0.039474,0.027007,1.461613,
dump_top10_x_appearance,>=60%×3-4,194,led_to_go_180d,0.061856,0.027007,2.290362,
dump_top10_x_appearance,>=60%×>=5,46,led_to_go_180d,0.0,0.027007,0.0,
dump_top10_x_appearance,unknown,2163,led_to_go_180d,0.018031,0.027007,0.667625,
dump_top10_x_mcap,20-40%×1-3億,184,led_to_go_180d,0.048913,0.027007,1.811129,
dump_top10_x_mcap,20-40%×3-10億,227,led_to_go_180d,0.026432,0.027007,0.978701,
dump_top10_x_mcap,20-40%×<1億,62,led_to_go_180d,0.032258,0.027007,1.194436,
dump_top10_x_mcap,40-60%×1-3億,133,led_to_go_180d,0.030075,0.027007,1.11361,
