feature,group,n,outcome,go_rate,baseline,lift,sample_note
mcap,1-3億,1274,led_to_perform,0.408163,0.39633,1.029856,
mcap,3-10億,1420,led_to_perform,0.372535,0.39633,0.939962,
mcap,<1億,575,led_to_perform,0.429565,0.39633,1.083857,
mcap,>=10億,1,led_to_perform,0.0,0.39633,0.0,insufficient_sample
turnover_to_mcap,1-5%,1206,led_to_perform,0.422886,0.39633,1.067003,
turnover_to_mcap,<1%,1729,led_to_perform,0.393869,0.39633,0.993791,
turnover_to_mcap,>5%,335,led_to_perform,0.313433,0.39633,0.790837,
ratio,20-50x,944,led_to_perform,0.418432,0.39633,1.055766,
ratio,<20x,1499,led_to_perform,0.39026,0.39633,0.984684,
ratio,>50x,827,led_to_perform,0.382104,0.39633,0.964105,
prior_go_365d,0,3234,led_to_perform,0.393939,0.39633,0.993967,
prior_go_365d,1,36,led_to_perform,0.611111,0.39633,1.541924,
prior_change_of_control,0,3270,led_to_perform,0.39633,0.39633,1.0,
prior_placing_180d,0,3128,led_to_perform,0.400256,0.39633,1.009905,
prior_placing_180d,1,142,led_to_perform,0.309859,0.39633,0.781821,
prior_rights_180d,0,3215,led_to_perform,0.398134,0.39633,1.00455,
prior_rights_180d,1,55,led_to_perform,0.290909,0.39633,0.734007,
prior_consolidation_180d,0,3250,led_to_perform,0.397846,0.39633,1.003825,
prior_consolidation_180d,1,20,led_to_perform,0.15,0.39633,0.378472,
has_broker_shot,0,2359,led_to_perform,0.39593,0.39633,0.998991,
has_broker_shot,1,911,led_to_perform,0.397366,0.39633,1.002612,
appearance_seq,1,1132,led_to_perform,0.423145,0.39633,1.067657,
appearance_seq,2,831,led_to_perform,0.394705,0.39633,0.9959,
appearance_seq,3-4,885,led_to_perform,0.388701,0.39633,0.980749,
appearance_seq,>=5,422,led_to_perform,0.343602,0.39633,0.866958,
recurrence,0,1132,led_to_perform,0.423145,0.39633,1.067657,
recurrence,1,2138,led_to_perform,0.382133,0.39633,0.964178,
board,unknown,3270,led_to_perform,0.39633,0.39633,1.0,
ccass_top10_pct,unknown,3270,led_to_perform,0.39633,0.39633,1.0,
concentration_rising,unknown,3270,led_to_perform,0.39633,0.39633,1.0,
dump_top10_pct_of_issued,unknown,3270,led_to_perform,0.39633,0.39633,1.0,
dump_concentration_rising,unknown,3270,led_to_perform,0.39633,0.39633,1.0,
dump_top10_x_appearance,unknown,3270,led_to_perform,0.39633,0.39633,1.0,
dump_top10_x_mcap,unknown,3270,led_to_perform,0.39633,0.39633,1.0,
