feature,group,n,outcome,go_rate,baseline,lift,sample_note
mcap,1-3億,1539,led_to_go_180d,0.033788,0.027007,1.251092,
mcap,3-10億,1756,led_to_go_180d,0.025626,0.027007,0.948883,
mcap,<1億,740,led_to_go_180d,0.016216,0.027007,0.600446,
mcap,>=10億,1,led_to_go_180d,0.0,0.027007,0.0,insufficient_sample
turnover_to_mcap,1-5%,1467,led_to_go_180d,0.030675,0.027007,1.135814,
turnover_to_mcap,<1%,2147,led_to_go_180d,0.026549,0.027007,0.983032,
turnover_to_mcap,>5%,422,led_to_go_180d,0.016588,0.027007,0.614201,
ratio,20-50x,1155,led_to_go_180d,0.027706,0.027007,1.025871,
ratio,<20x,1851,led_to_go_180d,0.031334,0.027007,1.160236,
ratio,>50x,1030,led_to_go_180d,0.018447,0.027007,0.683032,
prior_go_365d,0,3972,led_to_go_180d,0.027442,0.027007,1.016113,
prior_go_365d,1,64,led_to_go_180d,0.0,0.027007,0.0,
prior_change_of_control,0,4036,led_to_go_180d,0.027007,0.027007,1.0,
prior_placing_180d,0,3830,led_to_go_180d,0.02846,0.027007,1.053786,
prior_placing_180d,1,206,led_to_go_180d,0.0,0.027007,0.0,
prior_rights_180d,0,3966,led_to_go_180d,0.027484,0.027007,1.01765,
prior_rights_180d,1,70,led_to_go_180d,0.0,0.027007,0.0,
prior_consolidation_180d,0,3997,led_to_go_180d,0.02727,0.027007,1.009757,
prior_consolidation_180d,1,39,led_to_go_180d,0.0,0.027007,0.0,
has_broker_shot,0,2921,led_to_go_180d,0.028415,0.027007,1.052134,
has_broker_shot,1,1115,led_to_go_180d,0.023318,0.027007,0.863422,
appearance_seq,1,1226,led_to_go_180d,0.032626,0.027007,1.208076,
appearance_seq,2,941,led_to_go_180d,0.030818,0.027007,1.141125,
appearance_seq,3-4,1129,led_to_go_180d,0.026572,0.027007,0.983902,
appearance_seq,>=5,740,led_to_go_180d,0.013514,0.027007,0.500372,
recurrence,0,1226,led_to_go_180d,0.032626,0.027007,1.208076,
recurrence,1,2810,led_to_go_180d,0.024555,0.027007,0.909217,
board,unknown,4036,led_to_go_180d,0.027007,0.027007,1.0,
ccass_top10_pct,50-70%,3,led_to_go_180d,0.0,0.027007,0.0,insufficient_sample
ccass_top10_pct,>=70%,56,led_to_go_180d,0.0,0.027007,0.0,
ccass_top10_pct,unknown,3977,led_to_go_180d,0.027408,0.027007,1.014835,
concentration_rising,flat(±1pp),44,led_to_go_180d,0.0,0.027007,0.0,
concentration_rising,unknown,3992,led_to_go_180d,0.027305,0.027007,1.011022,
dump_top10_pct_of_issued,20-40%,949,led_to_go_180d,0.028451,0.027007,1.05347,
dump_top10_pct_of_issued,40-60%,691,led_to_go_180d,0.014472,0.027007,0.535854,
dump_top10_pct_of_issued,<20%,442,led_to_go_180d,0.049774,0.027007,1.842999,
dump_top10_pct_of_issued,>=60%,1648,led_to_go_180d,0.027913,0.027007,1.033535,
dump_top10_pct_of_issued,unknown,306,led_to_go_180d,0.013072,0.027007,0.48402,
dump_concentration_rising,falling(<-1pp),715,led_to_go_180d,0.027972,0.027007,1.035735,
dump_concentration_rising,flat(±1pp),1985,led_to_go_180d,0.031738,0.027007,1.175181,
dump_concentration_rising,rising(>+1pp),1030,led_to_go_180d,0.021359,0.027007,0.790879,
dump_concentration_rising,unknown,306,led_to_go_180d,0.013072,0.027007,0.48402,
